,collegeName,country,dateOfBirthUTC,draft_pickNum,draft_roundNum,draft_seasonYear,draft_teamId,firstName,heightFeet,heightInches,heightMeters,isActive,jersey,lastAffiliation,lastName,nbaDebutYear,personId,pos,teamId,weightKilograms,weightPounds,yearsPro
368,Kentucky,USA,1989-03-14,14,1,2010,1610612745,Patrick,6,9,2.06,True,54,Kentucky/USA,Patterson,2010,202335,F,1610612760,104.3,230,8
369,Creighton,USA,1997-06-14,16,1,2017,1610612741,Justin,7,0,2.13,True,0,Creighton/USA,Patton,2017,1628383,C,1610612755,109.3,241,1
370,Wake Forest,USA,1985-05-06,4,1,2005,1610612740,Chris,6,0,1.83,True,3,Wake Forest/USA,Paul,2005,101108,G,1610612745,79.4,175,13
371,Murray State,USA,1994-08-08,14,1,2015,1610612760,Cameron,6,3,1.9,True,3,Murray State/USA,Payne,2015,1626166,G,1610612739,86.2,190,3
372,Louisiana-Lafayette,USA,1994-02-22,10,1,2014,1610612755,Elfrid,6,4,1.93,True,4,Louisiana-Lafayette/USA,Payton,2014,203901,G,1610612740,83.9,185,4
373,,USA,1995-11-05,,,,,Theo,6,6,1.98,True,10,North Carolina/USA,Pinson,2018,1629033,G-F,1610612751,98.9,218,0
374,Duke,USA,1990-03-05,22,1,2013,1610612751,Mason,6,11,2.11,True,24,Duke/USA,Plumlee,2013,203486,F-C,1610612743,106.6,235,5
375,Duke,USA,1988-09-01,26,1,2012,1610612754,Miles,6,11,2.11,True,18,Duke/USA,Plumlee,2012,203101,C,1610612737,112.9,249,6
376,Utah,Austria,1995-10-15,9,1,2016,1610612761,Jakob,7,0,2.13,True,25,Utah/Austria,Poeltl,2016,1627751,C,1610612759,104.3,230,2
377,Washington,USA,1988-03-10,26,1,2010,1610612760,Quincy,6,7,2.01,True,3,Washington/USA,Pondexter,2010,202347,F,1610612759,104.3,230,6
378,Missouri,USA,1998-06-29,14,1,2018,1610612743,Michael,6,10,2.08,True,1,University of Missouri/USA,Porter Jr.,,1629008,F,1610612743,95.3,210,0
379,Georgetown,USA,1993-06-03,3,1,2013,1610612764,Otto,6,8,2.03,True,22,Georgetown/USA,Porter Jr.,2013,203490,F,1610612764,89.8,198,5
380,Arkansas,USA,1995-02-10,22,1,2015,1610612741,Bobby,6,11,2.11,True,5,Arkansas/USA,Portis,2015,1626171,F,1610612741,113.4,250,3
381,,Latvia,1995-08-02,4,1,2015,1610612752,Kristaps,7,3,2.21,True,6,Cajasol Sevilla/Latvia,Porzingis,2015,204001,F-C,1610612752,108.9,240,3
382,Stanford,Canada,1991-07-20,45,2,2014,1610612766,Dwight,6,11,2.11,True,7,Stanford/Canada,Powell,2014,203939,F-C,1610612742,108.9,240,4
383,UCLA,USA,1993-05-25,46,2,2015,1610612749,Norman,6,4,1.93,True,24,UCLA/USA,Powell,2015,1626181,F-G,1610612761,97.5,215,3
384,Kentucky,USA,1993-09-06,,,,,Alex,6,9,2.06,True,22,Kentucky/USA,Poythress,2016,1627816,F,1610612737,106.6,235,2
385,Baylor,USA,1994-03-22,12,1,2016,1610612762,Taurean,6,8,2.03,True,12,Baylor/USA,Prince,2016,1627752,F,1610612737,99.8,220,2
386,California,USA,1997-02-04,35,2,2017,1610612753,Ivan,6,10,2.08,True,10,California/USA,Rabb,2017,1628397,F,1610612763,99.8,220,1
387,Stanford,USA,1993-02-05,,,,,Chasson,6,2,1.88,True,9,Stanford/USA,Randle,2016,1626184,G,1610612764,83.9,185,1
388,Kentucky,USA,1994-11-29,7,1,2014,1610612747,Julius,6,9,2.06,True,30,Kentucky/USA,Randle,2014,203944,F,1610612740,113.4,250,4
389,Michigan State,USA,1981-07-16,19,1,2001,1610612757,Zach,6,9,2.06,True,50,Michigan State/USA,Randolph,2001,2216,F,1610612758,113.4,250,17
390,Duke,USA,1984-06-24,11,1,2006,1610612753,JJ,6,4,1.93,True,17,Duke/USA,Redick,2006,200755,G,1610612755,90.7,200,12
391,Miami (FL),USA,1995-06-11,32,2,2017,1610612756,Davon,6,5,1.96,True,32,Miami/USA,Reed,2017,1628432,G,1610612754,94.3,208,1
392,Tennessee,USA,1993-09-15,40,2,2015,1610612748,Josh,6,6,1.98,True,0,Tennessee/USA,Richardson,2015,1626196,G-F,1610612748,90.7,200,3
393,Syracuse,USA,1996-01-05,22,1,2016,1610612766,Malachi,6,6,1.98,True,22,Syracuse/USA,Richardson,2016,1627781,G,1610612761,93.0,205,2
394,Duke,USA,1992-08-01,10,1,2012,1610612740,Austin,6,4,1.93,True,25,Duke/USA,Rivers,2012,203085,G,1610612745,90.7,200,6
395,Colorado,USA,1991-12-04,26,1,2013,1610612750,Andre,6,7,2.01,True,21,Colorado/USA,Roberson,2013,203460,G-F,1610612760,95.3,210,5
396,Florida,USA,1995-03-07,,,,,Devin,6,8,2.03,True,7,Florida/USA,Robinson,2017,1628421,F,1610612764,90.7,200,1
397,Michigan,USA,1994-04-22,,,,,Duncan,6,8,2.03,True,55,Michigan/USA,Robinson,2018,1629130,F,1610612748,95.3,210,0
398,Boston College,USA,1997-02-22,13,1,2018,1610612746,Jerome,6,5,1.96,True,10,Boston College/USA,Robinson,2018,1629010,G,1610612746,86.2,190,0
399,,USA,1998-04-01,36,2,2018,1610612752,Mitchell,7,1,2.16,True,26,Western Kentucky University/USA,Robinson,2018,1629011,C,1610612752,108.9,240,0
400,Michigan,USA,1994-01-08,40,2,2014,1610612750,Glenn,6,6,1.98,True,22,Michigan/USA,Robinson III,2014,203922,G-F,1610612765,100.7,222,4
401,Kentucky,USA,1986-02-22,21,1,2006,1610612756,Rajon,6,1,1.85,True,9,Kentucky/USA,Rondo,2006,200765,G,1610612747,84.4,186,12
402,Memphis,USA,1988-10-04,1,1,2008,1610612741,Derrick,6,3,1.9,True,25,Memphis/USA,Rose,2008,201565,G,1610612750,90.7,200,9
403,Washington,USA,1991-02-05,8,1,2012,1610612761,Terrence,6,7,2.01,True,31,Washington/USA,Ross,2012,203082,G-F,1610612753,93.4,206,6
404,Louisville,USA,1994-03-17,16,1,2015,1610612738,Terry,6,1,1.85,True,12,Louisville/USA,Rozier,2015,1626179,G,1610612738,86.2,190,3
405,"El Masnou, Spain",Spain,1990-10-21,5,1,2009,1610612750,Ricky,6,4,1.93,True,3,FC Barcelona/Spain,Rubio,2011,201937,G,1610612762,86.2,190,7
406,Ohio State,USA,1996-02-23,2,1,2015,1610612747,D'Angelo,6,5,1.96,True,1,Ohio State/USA,Russell,2015,1626156,G,1610612751,89.8,198,3
407,Gonzaga,Lithuania,1996-05-03,11,1,2016,1610612760,Domantas,6,11,2.11,True,11,Gonzaga/Lithuania,Sabonis,2016,1627734,F,1610612754,108.9,240,2
408,,USA,1997-05-01,,,,,Brandon,6,5,1.96,True,44, USA/USA,Sampson,,1629102,G,1610612741,83.5,184,0
409,,Croatia,1994-04-08,12,1,2014,1610612753,Dario,6,10,2.08,True,36,Anadolu Efes (Turkey)/Croatia,Saric,2016,203967,F,1610612750,101.2,223,2
410,,Czech Republic,1991-10-30,32,2,2012,1610612764,Tomas,6,7,2.01,True,31, Czech Republic/Czech Republic,Satoransky,2016,203107,G-F,1610612764,95.3,210,2
411,Germany,Germany,1993-09-15,17,1,2013,1610612737,Dennis,6,1,1.85,True,17,Germany/Germany,Schroder,2013,203471,G,1610612760,78.0,172,5
412,Virginia,USA,1988-07-16,43,2,2012,1610612737,Mike,6,8,2.03,True,30,Virginia/USA,Scott,2012,203118,F,1610612746,107.5,237,6
413,"Vevey, Switzerland",Switzerland,1984-05-02,13,1,2006,1610612755,Thabo,6,7,2.01,True,22,Angelico Biella/Switzerland,Sefolosha,2006,200757,F,1610612762,99.8,220,12
414,Kansas,USA,1994-09-30,,,,,Wayne,6,5,1.96,True,14,Kansas/USA,Selden,2016,1627782,G-F,1610612741,104.3,230,2
