,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0021600152,1610612751,BKN,Brooklyn,1626178,Rondae Hollis-Jefferson,F,,20:57,2.0,3.0,0.667,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,8.0,-39.0
1,0021600152,1610612751,BKN,Brooklyn,202344,Trevor Booker,F,,22:26,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,2.0,3.0,4.0,-19.0
2,0021600152,1610612751,BKN,Brooklyn,203120,Justin Hamilton,C,,21:18,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,-11.0
3,0021600152,1610612751,BKN,Brooklyn,202711,Bojan Bogdanovic,G,,25:09,8.0,11.0,0.727,1.0,3.0,0.333,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,18.0,-12.0
4,0021600152,1610612751,BKN,Brooklyn,203930,Sean Kilpatrick,G,,18:13,5.0,17.0,0.294,2.0,7.0,0.286,2.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,0.0,5.0,0.0,14.0,-33.0
5,0021600152,1610612751,BKN,Brooklyn,2449,Luis Scola,,,14:42,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,-23.0
6,0021600152,1610612751,BKN,Brooklyn,203461,Anthony Bennett,,,25:34,2.0,8.0,0.25,1.0,5.0,0.2,2.0,2.0,1.0,1.0,8.0,9.0,1.0,0.0,0.0,1.0,0.0,7.0,-13.0
7,0021600152,1610612751,BKN,Brooklyn,203925,Joe Harris,,,25:10,3.0,6.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,1.0,1.0,2.0,2.0,2.0,0.0,1.0,4.0,8.0,-17.0
8,0021600152,1610612751,BKN,Brooklyn,200751,Randy Foye,,,28:53,1.0,4.0,0.25,1.0,3.0,0.333,4.0,5.0,0.8,0.0,4.0,4.0,4.0,0.0,0.0,2.0,3.0,7.0,3.0
9,0021600152,1610612751,BKN,Brooklyn,1627812,Yogi Ferrell,,,25:38,5.0,11.0,0.455,2.0,5.0,0.4,1.0,4.0,0.25,0.0,1.0,1.0,5.0,0.0,0.0,3.0,0.0,13.0,2.0
10,0021600152,1610612751,BKN,Brooklyn,1626191,Chris McCullough,,,12:00,6.0,9.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,13.0,2.0
11,0021600152,1610612751,BKN,Brooklyn,201572,Brook Lopez,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
12,0021600152,1610612751,BKN,Brooklyn,1627785,Isaiah Whitehead,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
13,0021600152,1610612746,LAC,LA,201601,Luc Mbah a Moute,F,,24:17,5.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,11.0,40.0
14,0021600152,1610612746,LAC,LA,201933,Blake Griffin,F,,25:40,9.0,15.0,0.6,0.0,1.0,0.0,2.0,3.0,0.667,1.0,5.0,6.0,6.0,2.0,0.0,1.0,3.0,20.0,39.0
15,0021600152,1610612746,LAC,LA,201599,DeAndre Jordan,C,,24:52,3.0,6.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,5.0,9.0,14.0,0.0,1.0,1.0,3.0,1.0,7.0,40.0
16,0021600152,1610612746,LAC,LA,200755,JJ Redick,G,,22:59,6.0,13.0,0.462,2.0,3.0,0.667,4.0,4.0,1.0,0.0,2.0,2.0,4.0,2.0,0.0,1.0,2.0,18.0,43.0
17,0021600152,1610612746,LAC,LA,101108,Chris Paul,G,,25:05,8.0,11.0,0.727,4.0,6.0,0.667,1.0,1.0,1.0,1.0,3.0,4.0,9.0,5.0,0.0,1.0,2.0,21.0,39.0
18,0021600152,1610612746,LAC,LA,203085,Austin Rivers,,,25:01,1.0,6.0,0.167,0.0,2.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,6.0,1.0,0.0,2.0,5.0,3.0,-11.0
19,0021600152,1610612746,LAC,LA,2037,Jamal Crawford,,,21:54,5.0,10.0,0.5,3.0,5.0,0.6,4.0,4.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,17.0,-11.0
20,0021600152,1610612746,LAC,LA,101138,Brandon Bass,,,22:20,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,-7.0
21,0021600152,1610612746,LAC,LA,101109,Raymond Felton,,,21:37,4.0,6.0,0.667,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,11.0,-4.0
22,0021600152,1610612746,LAC,LA,201578,Marreese Speights,,,18:18,3.0,8.0,0.375,2.0,4.0,0.5,1.0,2.0,0.5,1.0,5.0,6.0,1.0,2.0,3.0,1.0,0.0,9.0,0.0
23,0021600152,1610612746,LAC,LA,1627754,Diamond Stone,,,7:57,2.0,6.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,6.0,-8.0
24,0021600152,1610612746,LAC,LA,101187,Alan Anderson,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
25,0021600152,1610612746,LAC,LA,1718,Paul Pierce,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
