,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0021800441,1610612748,MIA,Miami,1626159,Justise Winslow,F,,14:45,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0
1,0021800441,1610612748,MIA,Miami,201949,James Johnson,F,,15:44,1.0,4.0,0.25,0.0,2.0,0.0,1.0,3.0,0.333,0.0,5.0,5.0,2.0,0.0,0.0,0.0,4.0,3.0,5.0
2,0021800441,1610612748,MIA,Miami,202355,Hassan Whiteside,C,,22:39,8.0,14.0,0.571,0.0,0.0,0.0,1.0,3.0,0.333,6.0,6.0,12.0,0.0,0.0,3.0,1.0,3.0,17.0,5.0
3,0021800441,1610612748,MIA,Miami,203585,Rodney McGruder,G,,23:13,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,3.0,0.0,0.0,1.0,1.0,0.0,5.0
4,0021800441,1610612748,MIA,Miami,1626196,Josh Richardson,G,,35:36,9.0,20.0,0.45,2.0,8.0,0.25,2.0,2.0,1.0,0.0,1.0,1.0,4.0,3.0,0.0,4.0,3.0,22.0,10.0
5,0021800441,1610612748,MIA,Miami,2548,Dwyane Wade,,,23:11,6.0,12.0,0.5,3.0,6.0,0.5,4.0,4.0,1.0,3.0,3.0,6.0,2.0,0.0,0.0,5.0,0.0,19.0,7.0
6,0021800441,1610612748,MIA,Miami,1628389,Bam Adebayo,,,25:21,1.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,2.0,6.0,8.0,5.0,0.0,1.0,4.0,5.0,5.0,1.0
7,0021800441,1610612748,MIA,Miami,204020,Tyler Johnson,,,25:52,5.0,13.0,0.385,3.0,8.0,0.375,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,15.0,1.0
8,0021800441,1610612748,MIA,Miami,203482,Kelly Olynyk,,,32:16,2.0,9.0,0.222,0.0,5.0,0.0,4.0,4.0,1.0,1.0,5.0,6.0,1.0,0.0,0.0,1.0,3.0,8.0,1.0
9,0021800441,1610612748,MIA,Miami,1627884,Derrick Jones Jr.,,,21:24,5.0,7.0,0.714,1.0,2.0,0.5,0.0,3.0,0.0,5.0,3.0,8.0,0.0,2.0,0.0,0.0,1.0,11.0,-6.0
