,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0021700201,1610612738,BOS,Boston,1628369,Jayson Tatum,F,,30:17,6.0,9.0,0.667,2.0,3.0,0.667,5.0,6.0,0.833,1.0,3.0,4.0,0.0,3.0,1.0,1.0,1.0,19.0,5.0
1,0021700201,1610612738,BOS,Boston,202694,Marcus Morris,F,,25:19,8.0,12.0,0.667,2.0,3.0,0.667,3.0,3.0,1.0,0.0,10.0,10.0,1.0,0.0,0.0,3.0,1.0,21.0,-10.0
2,0021700201,1610612738,BOS,Boston,201143,Al Horford,C,,30:27,8.0,10.0,0.8,1.0,2.0,0.5,0.0,0.0,0.0,1.0,10.0,11.0,3.0,0.0,0.0,2.0,1.0,17.0,22.0
3,0021700201,1610612738,BOS,Boston,1627759,Jaylen Brown,G,,31:27,5.0,9.0,0.556,1.0,4.0,0.25,3.0,4.0,0.75,0.0,4.0,4.0,3.0,3.0,0.0,2.0,2.0,14.0,24.0
4,0021700201,1610612738,BOS,Boston,202681,Kyrie Irving,G,,29:01,8.0,20.0,0.4,2.0,5.0,0.4,7.0,8.0,0.875,1.0,2.0,3.0,5.0,1.0,0.0,2.0,1.0,25.0,10.0
5,0021700201,1610612738,BOS,Boston,203935,Marcus Smart,,,34:36,1.0,8.0,0.125,0.0,3.0,0.0,4.0,4.0,1.0,3.0,2.0,5.0,2.0,0.0,0.0,3.0,4.0,6.0,6.0
6,0021700201,1610612738,BOS,Boston,1628464,Daniel Theis,,,11:16,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,1.0,0.0,2.0,3.0,-7.0
7,0021700201,1610612738,BOS,Boston,1626179,Terry Rozier,,,20:51,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
8,0021700201,1610612738,BOS,Boston,203382,Aron Baynes,,,12:28,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,-4.0
9,0021700201,1610612738,BOS,Boston,1628400,Semi Ojeleye,,,7:46,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-11.0
10,0021700201,1610612738,BOS,Boston,203499,Shane Larkin,,,6:33,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0
11,0021700201,1610612738,BOS,Boston,1627846,Abdel Nader,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
12,0021700201,1610612738,BOS,Boston,1627824,Guerschon Yabusele,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
13,0021700201,1610612751,BKN,Brooklyn,201960,DeMarre Carroll,F,,30:23,3.0,11.0,0.273,1.0,5.0,0.2,2.0,2.0,1.0,2.0,5.0,7.0,1.0,0.0,0.0,1.0,2.0,9.0,-6.0
14,0021700201,1610612751,BKN,Brooklyn,1626178,Rondae Hollis-Jefferson,F,,32:49,7.0,13.0,0.538,0.0,0.0,0.0,2.0,4.0,0.5,3.0,6.0,9.0,1.0,0.0,0.0,2.0,2.0,16.0,-21.0
15,0021700201,1610612751,BKN,Brooklyn,202344,Trevor Booker,C,,27:33,5.0,10.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,1.0,7.0,8.0,2.0,1.0,0.0,3.0,3.0,12.0,2.0
16,0021700201,1610612751,BKN,Brooklyn,203459,Allen Crabbe,G,,32:45,5.0,10.0,0.5,5.0,8.0,0.625,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,15.0,-14.0
17,0021700201,1610612751,BKN,Brooklyn,203915,Spencer Dinwiddie,G,,34:18,4.0,14.0,0.286,1.0,6.0,0.167,3.0,5.0,0.6,0.0,3.0,3.0,11.0,0.0,1.0,1.0,4.0,12.0,-2.0
18,0021700201,1610612751,BKN,Brooklyn,203112,Quincy Acy,,,19:21,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,2.0,2.0,5.0,0.0,1.0
19,0021700201,1610612751,BKN,Brooklyn,1627747,Caris LeVert,,,22:13,6.0,7.0,0.857,2.0,2.0,1.0,1.0,3.0,0.333,0.0,1.0,1.0,4.0,1.0,0.0,3.0,2.0,15.0,3.0
20,0021700201,1610612751,BKN,Brooklyn,203925,Joe Harris,,,19:47,7.0,14.0,0.5,5.0,11.0,0.455,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,19.0,-2.0
21,0021700201,1610612751,BKN,Brooklyn,202389,Timofey Mozgov,,,5:37,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
22,0021700201,1610612751,BKN,Brooklyn,1627785,Isaiah Whitehead,,,6:22,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
23,0021700201,1610612751,BKN,Brooklyn,1628386,Jarrett Allen,,,8:52,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0
24,0021700201,1610612751,BKN,Brooklyn,203930,Sean Kilpatrick,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
25,0021700201,1610612751,BKN,Brooklyn,203092,Tyler Zeller,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
